tweet_id,predicted_labels,probabilities
1246096866942607362,1,0.9612479
1321259279500906496,0,0.08594361
1239679202531532802,1,0.96145606
1242599596838146048,0,0.10784853
1237439219544371200,0,0.08785693
1314249499729113088,1,0.96204853
1242613984752062464,0,0.18192273
1304887612495278082,0,0.08551555
1243155386489765889,0,0.08432546
1295790035606831106,1,0.96165895
1243649170319249409,0,0.08424446
1247256044683718656,1,0.9587755
1237460364016705537,1,0.96156746
1297348409284628485,1,0.9591453
1245367376679448577,0,0.08406972
1309931066090754050,1,0.9628784
1242590913957728256,1,0.9562594
1323354267793592320,1,0.96238196
1297186772120674305,0,0.08755241
1239452431106199552,1,0.9598795
1303369858051174401,1,0.9640631
1299344222135422976,1,0.96383214
1316904362560598018,0,0.08574032
1313589414593880065,1,0.96299165
1245045552984674304,1,0.9626368
1245154002477527040,1,0.9598019
1321150893492969476,0,0.08539712
1244654536435867650,1,0.9393486
1328052868604170244,1,0.96123606
1244145731897884673,1,0.9621586
1245459074042519558,0,0.08196743
1242476290969608192,1,0.9630746
1249329060074774528,1,0.9617042
1235281931085828096,1,0.9631503
1241370470571786245,0,0.08618175
1296267688310906880,1,0.9636781
1311747038011437056,0,0.08570368
1240620338586750977,1,0.9632828
1247545695323787264,1,0.9640497
1332061958854459393,0,0.086638406
1322258888721371138,0,0.08499484
1238872290923819008,1,0.961254
1249371104461742085,1,0.95967144
1242149297669525504,1,0.9609655
1248675145167908865,1,0.9599444
1245010704303874049,1,0.9632019
1245078587608387584,1,0.96083045
1241023448157229056,1,0.9601562
1237743928285302790,1,0.9610721
1237440725026869248,0,0.08785693
1240684355741077504,1,0.96158963
1243071312962043905,1,0.93600595
1329122756403859458,0,0.09299319
1316461774162386946,1,0.95235085
1237199099096694784,1,0.94336075
1245021654801174530,1,0.9618848
1246510574130905088,1,0.96090674
1308830543073759234,1,0.9606356
1294443880268492800,1,0.9026653
1239344147556970496,1,0.9641516
1330247991450546186,1,0.95695543
1245043759437377537,1,0.9605793
1319052978612064256,0,0.08865732
1247539190520143879,1,0.9621594
1331781194149609472,1,0.955576
1237133178000699392,1,0.96587354
1244988589366300673,1,0.9635362
1237468488668721152,1,0.96049434
1238797507376881671,1,0.9563314
1238391922785259521,1,0.96004707
1292552158466973702,1,0.9634185
1311885254286700544,0,0.08564955
1249061679415144450,1,0.9546651
1293185271081480195,1,0.932177
1247645950816006153,0,0.086831875
1246911655243440128,1,0.9625615
1296115616856920069,1,0.9601432
1237531507188568065,0,0.086426266
1245301578195755009,0,0.0842663
1245824609439662080,0,0.084850155
1238802720544473089,1,0.96174985
1238907721795002373,0,0.0846925
1247886036283228160,1,0.96589667
1295440599185842178,0,0.10502814
1248652714185293824,0,0.08559365
1311727876690018304,0,0.086708315
1238584244361814016,0,0.087621
1310157104418820096,1,0.9491689
1247192379930611721,0,0.1330773
1247856915541102593,0,0.087240666
1249087853558222850,1,0.96015465
1244670726503911434,1,0.9621126
1247884038397816832,1,0.9614345
1310940351088164869,1,0.95986605
1296614584883634176,1,0.96254414
1237588339592556549,1,0.9617752
1243666877450158093,1,0.9615185
1294434736438272000,0,0.08410149
1248697857982566402,1,0.9587707
1298606933990146048,0,0.087265044
1245805441143226368,1,0.9632624
1238529302821507072,0,0.091034174
1248783388871294977,0,0.090898454
1238375290604314624,1,0.9639736
1311231942981894144,0,0.084803805
1303090672472383488,1,0.96240854
1247192375606329344,0,0.09125226
1243937129668935681,1,0.9611037
1310980832086159360,1,0.9627762
1247690308919234561,0,0.08556038
1247957389028065281,1,0.9614166
1247954896940195840,1,0.96089405
1237408456082145286,1,0.9632896
1240837030717857793,1,0.96236604
1239578284217765888,0,0.0850322
1243947397761445890,1,0.9563562
1245042878893551616,0,0.08544675
1247373649331589121,1,0.96147335
1245860093674917888,1,0.9617719
1246263743811653633,1,0.96063215
1246548484884443136,1,0.96560395
1293581271184969728,0,0.084743805
1296642192128249856,1,0.96162426
1332703329030430720,1,0.95932883
1235286847057727489,1,0.9622558
1237184251822370818,1,0.96238416
1246090076922077185,1,0.9612183
1328774194113417218,0,0.08458581
1242889184781709312,0,0.085568294
1245356949106909185,1,0.96304643
1238842323091382275,1,0.9636303
1307842113443332104,1,0.95972633
1236837827955920896,0,0.08831242
1298670304202330112,1,0.96346617
1244632207765000192,1,0.96270734
1238228287220068356,1,0.9632405
1243269051482173440,1,0.9620828
1244296832139898880,1,0.9621236
1327833971980455938,1,0.95953894
1239975125664944132,1,0.9579207
1324544668168695808,0,0.087688036
1238606624945614848,1,0.9614001
1318556933297758208,0,0.092769295
1245018849017282564,0,0.08257968
1248077968200486912,0,0.086027466
1300474065388531713,0,0.086908296
1301238397533593604,0,0.08909296
1242431805061582852,1,0.96573746
1242243919154479109,1,0.9634808
1238191615497449482,1,0.96337724
