tweet_id,tweet_url,tweet_text,stance,persuasiveness,split
1372936384034447366,https://t.co/FpkVZ8ESy0,"More Asian-Americans Are Buying Guns For Protection From Hate Crime https://t.co/FpkVZ8ESy0

But @JoeBiden and @TheDemocrats want to deny them their #secondamendment right to do so? 

#hmm

#2A #2ndamendment #gunrights #violentcrime #publicsafety #copolitics 
@WhiteHouse https://t.co/qfew6mEeH4",oppose,no,train
1327310308260667393,https://t.co/KrJTpJR3Ke,"""I will protect your Bill of Rights. Gun control is a recipe for only the criminals having guns. I am a member of the NRA and the Nebraska Firearms Owners Association and proud of it."" - Don Bacon
 #Congress #AirForce https://t.co/KrJTpJR3Ke",oppose,no,train
1334523148692312065,https://t.co/hBAV1pPCY9,#guns #2A 6-Time Olympic Shooting Medalist Says Gun Control Is ‘Killing Our Sport’: Six-time Olympic shooting medalist Kim Rhode said Monday night that new gun control measures implemented in her home state of California — an https://t.co/hBAV1pPCY9 https://t.co/c2SSTPuGHU,oppose,no,train
1324087921641721856,https://t.co/LfIzR6iPA3,"Congratulations @ForHD65 on your victory! 

We’re proud to endorse a strong advocate who believes in our movement for gun safety, in the efficacy of universal background checks, and keeping the families of Texas’ #HD65 safe from gun violence. https://t.co/LfIzR6iPA3",support,no,train
1313162243035607040,https://t.co/MZyeIP6Mtx,"Dr. Cindy Banyai supports common sense gun safety laws that will save lives.  Her opponent, brags that he stood up against the bipartisan gun safety laws Florida passed after the tragedy in Parkland.

✔️Banyai for #FL15

Support @SWFLMom2020 

#ONEV1 #BlueDot #EndGunViolence https://t.co/MZyeIP6Mtx",support,no,train
1357140892658798592,https://t.co/MWcgPTA1zj,"The beauty of the second amendment is that it will not be needed until they try and take it.
#2ndAmendment #Beauty #Freedom #Audilust #Legholster #Gungirl #Girlwithtattoos https://t.co/MWcgPTA1zj",oppose,no,train
1375928615217545218,https://t.co/6qbFwEXGZ7,"Is there a gun epidemic in America?. Well, let's look at the numbers and compare gun deaths vs other causes of death.
THERE IS NO GUN EPIDEMIC IN AMERICA. The government should  invest in preventing/solving common causes of death killing millions.
#GunControl #2ndAmendment https://t.co/6qbFwEXGZ7",oppose,yes,train
1321992651923742722,https://t.co/Oj7XzAK2ht,peaceful protests can lead to gun control. pass it on https://t.co/Oj7XzAK2ht,support,yes,train
1340442042992877573,https://t.co/Iii94A2DI0,"Get 'The Second Amendment' (Unisex) Sweater, Today! ""A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed."" https://t.co/Iii94A2DI0 https://t.co/hYkd2cpti1",oppose,no,train
1363955305982402563,https://t.co/W8WeeqhCtl,"Just saying... guns save lives more than take them. But this logic will not be repeated by the likes of @MomsDemand.

#NRA #Gunsense #liberty #racism #scotus #2ndamendment #libertarian #Democrats #molonlabe https://t.co/W8WeeqhCtl",oppose,yes,train
1357697991822503937,https://t.co/oxb6rn9yXr,"By early February, more people are killed with guns in the US than are killed with guns in other high-income countries in the entire year.

It is past time that we gain bipartisan support for commonsense gun reform in Pennsylvania.

#GVSurvivorsWeek https://t.co/oxb6rn9yXr",support,no,train
1374542539127103492,https://t.co/oOTuIUrxim,The only people/organization that has fed the lie that democrats are going to take your guns are the gop and the nra. Democrats and republicans alike want common sense gun laws. Period! Law abiding people don't mind waiting 3 days to purchase a gun. Pass the law!!! Fuck the NRA! https://t.co/oOTuIUrxim,support,no,train
1375829438575779843,https://t.co/0bDFzM7rh5,Idea for a gun law. Those whiners would be losing their 💩 if this was forced on them. let's DO IT. https://t.co/0bDFzM7rh5,support,yes,train
1318708474591776768,https://t.co/jysw20iu2q,"Firearms are the leading cause of death for American children and teens. By implementing gun control laws, we would protect the children, not the guns.

Let our voices be heard. #EndGunviolence #GunSafety #mcpromoteswomensrights https://t.co/jysw20iu2q",support,no,train
1338521073961365506,https://t.co/Y3Qu1bjn3S,26. 26 lives taken 8 years ago like they were nothing. Innocent children and brave adults who died trying to protect them. Senseless. Tragic. Heartbreaking. Look at the faces and ask yourself why we can’t agree that we need gun control. It’s not about rights...it’s about KIDS.💔 https://t.co/Y3Qu1bjn3S,support,no,train
1370187627765374980,https://t.co/TFNeqPx22r,We need a voters ID long before an ID to purchase a firearm. It’s also unconstitutional and goes against our 2nd amendment. https://t.co/TFNeqPx22r,oppose,no,train
1375105271907815424,https://t.co/squME0wY9D,"Background checks save lives. Full stop. 
We deserve #MoreThanThoughtsAndPrayers from our elected leaders to end gun violence. Text CHECKS to 644-33 to demand your senators take action on background checks NOW. @MomsDemand https://t.co/squME0wY9D",support,no,train
1345391919095033863,https://t.co/0NUceCAo4s,"""If the opposition disarms, well and good. If it refuses to disarm, we shall disarm it ourselves.""
-Joseph Stalin, 1927
#communism #guncontrol #shit_authoritarians_say https://t.co/0NUceCAo4s",oppose,no,train
1374533451462873090,https://t.co/Xqc6IOMdAC,"The 2nd Amendment is the last defense against tyrannical authoritarian government. Taking away the ability for a free people to purchase firearms is a red flag that everyone needs to pay attention to.

#2ndAmendment #2A #RightToBearArms #ConsitutionalRight #Freedom https://t.co/Xqc6IOMdAC",oppose,no,train
1324005515219947525,https://t.co/jdOlV7Xpys,".@lucymcbath has emerged victorious in #GA06! 

She has proven to be a gun safety champion for her community. Now more than ever, we need someone with her courage and strength in Congress. https://t.co/jdOlV7Xpys",support,no,train
1346836374004113408,https://t.co/Jc41kU9zkM,"If Ossoff wins the Georgia senate seat, our second amendment rights are toast. Better lose your guns in a boating accident. That’s happened to me last weekend. #2A #biden cc: @RepThomasMassie @PeteSessions @RandPaul https://t.co/Jc41kU9zkM",oppose,no,train
1367993482028138497,https://t.co/iHp5mLM9j5,.@JoeBiden When it comes to gun control here is an option that you should try. Create a nationwide constitutional carry permit. That way law abiding citizens can move freely from state to state. Stop trying penalize us for exercising our 2nd Amendment rights. @Unitedminingal https://t.co/iHp5mLM9j5,oppose,no,train
1325007657170857984,https://t.co/2fXfmtirLe,"""Assembly Bill 2847 solves no problems but creates yet another gun control hurdle for law-abiding firearm manufacturers and the consumers that rely on their products."" | https://t.co/2fXfmtirLe https://t.co/mEJ8QskeY0",oppose,no,train
1350560411943383040,https://t.co/cuO3ff3vgW,"WHAT IS THIS?

ANOTHER ATTEMPT BY WASHINGTON AND CONGRESS MEMBERS TO (CRIMINALIZE) THE AMERICAN PEOPLE FOR FOLLOWING THE SECOND AMENDMENT, AND A (MILITIA'S) WAYS WHEN THEY ARE ALL HIGH TREASON WITH THE FEDERAL BUREAU OF INVESTIGATIONS WAY'S... https://t.co/cuO3ff3vgW",oppose,no,train
1374564630106759170,https://t.co/iKxVrGZHRX,"We don’t have to live like this. And we do not need to accept nor normalize gun violence as just part of our daily American lives. We have a right to live free from the fear of gun violence in all forms. Take action. 

#EndGunViolence #KeepGoing #SurvivorStrong #ForJunior https://t.co/iKxVrGZHRX",support,yes,train
1338686569289494529,https://t.co/VCDqgILoAI,"Every time I look at these pictures it breaks my heart and makes me so angry--8 years later and no commonsense gun laws! When will change happen?
💔#SandyHook #EndGunViolence https://t.co/VCDqgILoAI",support,yes,train
1365496881950859265,https://t.co/NmfJWnbpyN,"""The People have a right to keep and bear Arms; that a well regulated Militia, composed of the Body of the People, trained to arms, is the proper, natural, and safe Defence of a free state."" George Mason, Father of our 2nd Amendment

Your friends ➡️ https://t.co/NmfJWnbpyN https://t.co/CmApOOBh0i",oppose,yes,train
1320954028981846017,https://t.co/cW5II2TjhL,"This situation just occurred today in Texas, USA.

This once again proves how many lives could be saved just through passing stronger gun control and reform laws throughout the entire United States.

We in @FreestoneGov are not enough.
Americans, please vote wisely! https://t.co/cW5II2TjhL",support,yes,train
