tweet_id,tweet_url,tweet_text,stance,persuasiveness,split
1374395458852847630,https://t.co/n8IYYS2jZH,Americas gun violence problem is back to pre pandemic highs.,support,yes,train
1365026908346400769,https://t.co/XLnqavfWQx,"I'm calling complete bullshit on this. They're getting their whole narrative from the 90s, and I see zero sources here. If militias are doing anything, it's probably complaining about the price of ammo now that more people have discovered that the 2nd Amendment exists.",oppose,no,train
1347190024782024704,https://t.co/SH7n7Kir5S,"I see an immediate attack on the 2nd amendment, mark my word, by June, all owners of automatic and semi-automatic military style weapons will be deemed criminals and will face the full force of the new restrictive laws.. this action is number one on their agenda..",oppose,no,train
1372188257744785415,https://t.co/rdg366zSKa,"Gun safety isn't just knowing how to handle a gun properly, it's also about keeping them out of the wrong hands. Storing firearms safely is a must in order to keep children safe, preventing injuries &amp; keeping them out of the hands of a criminal.",support,no,train
1361446063874392065,https://t.co/XsZDn2y9rr,"My is to urge to prioritize legislation to prohibit the manufacture &amp; sale of ghost guns. These do-it-yourself weapons can be downloaded or purchased online, bypassing the background check system that keeps Maryland safe.",support,yes,train
1319331601604612103,https://t.co/SjeoA1QN1E,Thank you for prioritizing gun safety and hosting this Gun Buyback on October 24 at St. Lukes Episcopal Church. -NO QUESTIONS ASKED- People can turn in operable handguns or assault rifles and receive a $200 prepaid card + a free iPad.,support,no,train
1367584679751163905,https://t.co/vnCi7U0Tqo,As if we needed more evidence that worry over gun regulation is racist at its center:,support,yes,train
1354861222831644672,https://t.co/8EbSCsSqtv,"No military training required, as long as you have the $$ and can pass a background check, you can buy one of the most devastating sniper rifles ever made. And we dont need to update our gun control laws?",support,no,train
1336339820428238856,https://t.co/MQ2xFEFd0R,"Not all non-profits are created equal. The National Right to Life supports Life, 1st Amendment &amp; 2nd Amendment while the YWCA fights against those same issues.",oppose,no,train
1363688714115964928,https://t.co/oszftIF2c9,Louisville native who survived mass shooting offers gun safety training to help curb city's violence: |,support,no,train
1324273800901464064,https://t.co/omnaLvvs85,"GiffordsCourage: Gun safety wins! defeated *another* NRA-backed opponent this year. Congresswoman Axne believes we can build a safer future, and votes like it too. Now shes headed back to Congress!",support,no,train
1342857647326961664,https://t.co/hBAV1pPCY9,6-Time Olympic Shooting Medalist Says Gun Control Is Killing Our Sport: Six-time Olympic shooting medalist Kim Rhode said Monday night that new gun control measures implemented in her home state of California an,oppose,no,train
1372266327814049793,https://t.co/TAvRArHjZG,"There are nearly 400 million firearms in the US, controlled very well by over 150 million legal owners. We dont need the government to control us. The laws you push dont deter criminals. The 2nd Amendment protects us from government control.",oppose,no,train
1368208634606284800,https://t.co/7mphzWiYL6,"After the Capitol attack, lawmakers were quick to increase security for themselves. But after countless school shootings, we haven't seen any gun reform.",support,no,train
1370047701467987971,https://t.co/jeFKIrjK1e,"The House just passed H.R. 8, which would require a background check on every gun sale. This commonsense gun safety reform to prevent criminals from buying guns is overwhelmingly supported by the American people.",support,no,train
1315655371713925120,https://t.co/1cnQK6lbgL,"SCOTUS has balanced rights w/ public safety, ruling that gun safety laws essential &amp; constitutional Rushing through a replacement to RBG could undermine that balance and put life-saving laws at risk",support,no,train
1330156846125096962,https://t.co/wzhU1KAXi2,"You know, if you really wanted to end gun violence you could focus on mental health instead of gun control restrictions that don't actually prevent mentally unstable people from obtaining guns illegally.",oppose,no,train
1361344803380813829,https://t.co/NuruKwbzib,"Our is to urge to prioritize legislation to prohibit the manufacture &amp; sale of ghost guns. These do-it-yourself weapons can be downloaded or purchased online, bypassing the background check system that keeps Maryland safe.",support,no,train
1354881936519528448,https://t.co/1AFagXEkx4,CRIMINALS DO NOT FOLLOW GUN CONTROL LAWS!,oppose,no,train
1315074511520387072,https://t.co/lsv6VS2Ufx,"If are going to win the PA House we cant lose seats like . She and I have worked together on mental health care expansion, student debt and hunger, and gun safety legislation. Shes effective, shes smart, and shes a friend. SUPPORT HER!",support,no,train
1371457987420770305,https://t.co/WODOydG3we,"The doesn't grant us the right to KABA. It restricts the government from preventing me from having or using ARMS, not just guns, and using them for moral and ethical purposes. It also ensures my ability to rise up in an unorganized and or organized militia.",oppose,no,train
1336852389043777538,https://t.co/e5HU7H6ooh,Mexico Proves More Gun Control Does Not Mean Less Crime,oppose,yes,train
1338486015028236289,https://t.co/fN3nEtqXYn,"12/14/12 The day Americas heart broke to find out its okay to murder children. 12/15/12 Rs, now is not the time to discuss this. 11/9/16 Theyll never take our guns.",support,no,train
1352017029751066624,https://t.co/FgQyp5VRim,"As much as we believe in gun regulation, we also believe in safe and smart gun ownership. Go to to learn more about how you can make sure your firearms don't put those you love in danger.",support,no,train
1321488365880041473,https://t.co/gkfFR49GyG,Dr. Greg Mosdossy statement on city gun bans. Gun control is not crime control. Gun prohibition is not regulation. via,oppose,no,train
1370072580221206538,https://t.co/bQ0fvUvXy1,"Gunviolence is a public health crisis, disproportionately impacting Black&amp; Brown communities. I wear orange to recognize all those impacted by and demand Congress take action by passingbackgroundchecklegislation.",support,no,train
1320781660686864390,https://t.co/V0p58aVWet,I genuinely appreciate this endorsement from the Wiley Nickel... is among the Senates most progressive members. He has pushed for improved unemployment benefits and supports stronger gun control laws and an end to gerrymandering... We recommend Wiley Nickel.,support,no,train
1319276575985004544,https://t.co/n9BuwXeMp1,No. That's the anti gun people like mom's demand. You advocate for disarming potential victims of rape or stalking. Women that have a much better chance armed. is anti victim &amp; racist. Definitely anti woman. We're not having more victims like the UK.,oppose,yes,train
